# OpenClaw Nightly Scan — Full Scored PR Report
# Generated: 2026-02-27
# Total scored: 5053
# Score >= 80: 166
# Score >= 70: 1974
#
# Format: SCORE | PR# | INTENT | TITLE
# ====================================================================================================

# ── CRITICAL (score >= 90) ──────────────────────────────────────────
 91 | #26443  | bugfix     | fix: detect PID recycling in session write lock staleness check
 90 | #26047  | bugfix     | security(line): dedupe replayed webhook events by webhookEventId
 90 | #26441  | bugfix     | Fix gateway drain mode
 90 | #26626  | bugfix     | fix(daemon): replace unconditional KeepAlive with SuccessfulExit dict
 90 | #28238  | bugfix     | security(gateway): cap pending pre-auth websocket handshakes
 90 | #28247  | bugfix     | fix(gateway): fail fast on port-in-use to prevent systemd crash loop
 90 | #28291  | bugfix     | fix(daemon): forward NODE_EXTRA_CA_CERTS + NODE_USE_SYSTEM_CA
 90 | #28342  | feature    | feat(web-fetch): add ssrfPolicy config support for web_fetch tool

# ── HIGH (score 80-89) ─────────────────────────────────────────────
 87 | #27635  | bugfix     | fix(compaction): make compaction timeout configurable for slow local models
 86 | #24300  | bugfix     | fix(whatsapp): add missing enabled field to config schema
 85 | #12499  | bugfix     | fix(config): add missing customBindHost to gateway Zod schema 
 85 | #24958  | feature    | feat(security): RubberBand - static command pattern detection for exec pipeline
 85 | #25093  | bugfix     | fix(gateway): hard-bind OpenAI/OpenResponses ingress as external non-owner
 85 | #25219  | bugfix     | fix(agent): prevent gateway hang on streaming fetch errors during billing/quota 
 85 | #25966  | bugfix     | security(gateway): cap pending pre-auth websocket handshakes
 85 | #25973  | bugfix     | security(gateway): reject oversized pre-auth websocket frames
 85 | #25974  | bugfix     | fix(discord): break resume death spiral when session goes stale
 85 | #26502  | bugfix     | fix: prevent double compaction from destroying preserved messages (#26458)
 85 | #26544  | bugfix     | fix(security): enforce group chat agent allowlist in routing
 85 | #26565  | bugfix     | fix(cron): normalize jobId → id in store loader to prevent stuck jobs
 85 | #26918  | bugfix     | irc: keep monitor promise pending until connection closes
 85 | #27142  | bugfix     | fix: drop thinking blocks for Anthropic to prevent session corruption
 85 | #27272  | bugfix     | fix(sessions): add bootId/pidStartTime to lock files to prevent PID recycling is
 84 | #21842  | bugfix     | fix(gateway-cli): use wss:// scheme when gatewayTls is enabled
 84 | #25072  | bugfix     | fix(browser): stabilize high-frequency browser tool runs (issue #16589)
 84 | #25258  | bugfix     | fix(web-fetch): expose ssrfPolicy.allowRfc2544BenchmarkRange config option
 84 | #25280  | bugfix     | Fix sessions_send silent drop when A2A run fails
 84 | #25964  | bugfix     | security(zalo): fail closed on webhook query fan-out DoS
 84 | #26050  | bugfix     | security(feishu): bound unauthenticated webhook rate-limit state
 84 | #26067  | bugfix     | security(feishu): block off-path traffic from exhausting webhook budget
 84 | #26282  | bugfix     | fix(telegram): reject oversized files before download to prevent crash loop
 84 | #26290  | bugfix     | fix(net): increase pinned dispatcher timeout from 300ms to 2500ms
 84 | #26337  | feature    | security: detect secrets in inbound messages and warn via system prompt
 84 | #26625  | bugfix     | fix(whatsapp): add credential store pruning to prevent session corruption
 84 | #26700  | bugfix     | fix(security): strip leaked external untrusted-content wrappers from user-facing
 84 | #26843  | bugfix     | Plugins: lazy-install bundled extension deps on enable
 84 | #26875  | bugfix     | fix(gateway): survive transient undici TLS uncaughtExceptions instead of crashin
 84 | #26990  | bugfix     | fix(line): block monitorLineProvider until abort to prevent crash loop
 84 | #27013  | bugfix     | fix(gateway): kill stale processes before restart to prevent port conflicts
 84 | #27091  | bugfix     | fix(oauth): resolve GPT-5+ "Failed to extract accountId" with enhanced Codex OAu
 84 | #27119  | bugfix     | fix: pass bashElevated to runEmbeddedPiAgent in cron and agent command paths
 84 | #27319  | bugfix     | fix(discord): filter bot-own MESSAGE_CREATE events before debouncer
 84 | #27388  | bugfix     | fix(agent): retry on Anthropic stream event order errors
 84 | #27563  | bugfix     | fix(sandbox): mount skills at dedicated /skills path for sandboxed agents
 84 | #27866  | bugfix     | Telegram: honor NO_PROXY and env proxy precedence
 84 | #28258  | bugfix     | fix: crash recovery for Anthropic thinking blocks (#25194)
 84 | #28428  | bugfix     | Fix gateway daemon token drift after token rotation
 84 | #28514  | bugfix     | fix(agents): enforce Mistral strict9 tool call ID sanitization via OpenAI-compat
 84 | #28572  | bugfix     | fix(memory): allow FTS-only indexing without embedding provider
 83 | #16995  | bugfix     | fix(telegram): record update ID before processing to prevent crash replay
 83 | #19134  | bugfix     | fix(gateway): specify utf-8 encoding on SSE res.write() calls
 83 | #21516  | bugfix     | fix: classify connection errors as timeout for model failover (#20931)
 83 | #21992  | bugfix     | fix(telegram): allow colon in provider name for model callback parsing (#21939)
 83 | #24380  | bugfix     | fix(nextcloud-talk): add missing zod runtime dependency
 83 | #25457  | bugfix     | fix(imessage): hash-based echo detection and is_from_me early exit
 83 | #27044  | bugfix     | fix(net): allow network config overrides for pinned dispatchers
 83 | #27477  | bugfix     | fix: normalize edit aliases and stabilize mutation fingerprint
 83 | #27593  | bugfix     | fix(channels): add circuit breaker to typing keepalive loop
 83 | #27787  | bugfix     | fix(line): add file message download and fix media sandbox access
 82 | #11746  | bugfix     | fix: treat meta config paths as no-op to prevent unnecessary gateway restarts
 82 | #11986  | bugfix     | fix: drop empty assistant content blocks from error/aborted API responses
 82 | #16963  | bugfix     | fix: enable auth rate limiting by default
 82 | #20990  | bugfix     | fix: Handle single-element type arrays in tryFlattenLiteralAnyOf
 82 | #22025  | bugfix     | fix(telegram): accept colon provider ids in mdl_list callbacks
 82 | #22900  | bugfix     | fix(discord): set IS_COMPONENTS_V2 flag for v2 components in sendDiscordText/Med
 82 | #24516  | bugfix     | fix(cli): load plugin registry for configure and onboard commands (#17266)
 82 | #24668  | bugfix     | fix(matrix): skip reasoning-only messages in reply delivery
 82 | #24761  | bugfix     | fix(auth): classify OAuth missing-scope errors as auth
 82 | #24764  | bugfix     | fix(failover): classify subscription/plan feature-unavailability as billing
 82 | #24795  | bugfix     | fix(ui): load saved locale translations on startup
 82 | #24798  | bugfix     | fix(providers): strip trailing /v1 from Anthropic baseUrl to prevent double-path
 82 | #26703  | bugfix     | feishu: fall back to user_id for inbound sender identity
 82 | #27021  | bugfix     | fix(channels): add failsafe stop for typing keepalive
 81 | #10197  | bugfix     | fix: add missing allowAgents to agent defaults subagents schema
 81 | #10807  | bugfix     | fix(config): coerce numeric meta.lastTouchedAt to ISO string
 81 | #14023  | bugfix     | fix: filter skills watcher to relevant file types to prevent FD exhaustion
